status,count
Finished,1755
+1 Lap,816
+2 Laps,142
Collision,105
Accident,62
Engine,59
Collision damage,48
Brakes,29
Power Unit,26
Gearbox,25
Retired,20
Hydraulics,14
+3 Laps,13
Suspension,12
Disqualified,9
Wheel,9
Power loss,9
Overheating,7
Oil leak,6
Puncture,6
Water pressure,6
Electrical,6
Fuel pressure,5
Withdrew,5
Spun off,4
Undertray,4
Mechanical,4
Exhaust,4
Battery,3
Illness,3
Electronics,3
Water leak,3
Turbo,3
Driveshaft,2
Vibrations,2
Damage,2
Steering,2
Transmission,2
Front wing,2
Wheel nut,2
Fuel leak,2
Radiator,2
Rear wing,2
+6 Laps,1
Water pump,1
Differential,1
Fuel pump,1
Technical,1
Out of fuel,1
Cooling system,1
Debris,1
+5 Laps,1
Oil pressure,1
Tyre,1
Spark plugs,1
Seat,1
+7 Laps,1
