season,round,lap,position,driverId,time
2020,1,1,1,bottas,1:11.454
2020,1,1,2,max_verstappen,1:13.501
2020,1,1,3,norris,1:14.567
2020,1,1,4,albon,1:15.104
2020,1,1,5,hamilton,1:15.627
2020,1,1,6,perez,1:16.326
2020,1,1,7,leclerc,1:16.847
2020,1,1,8,sainz,1:17.168
2020,1,1,9,stroll,1:17.583
2020,1,1,10,vettel,1:18.362
2020,1,1,11,ricciardo,1:18.766
2020,1,1,12,gasly,1:19.106
2020,1,1,13,kevin_magnussen,1:19.587
2020,1,1,14,giovinazzi,1:20.013
2020,1,1,15,kvyat,1:20.360
2020,1,1,16,ocon,1:20.678
2020,1,1,17,raikkonen,1:20.781
2020,1,1,18,grosjean,1:21.365
2020,1,1,19,russell,1:21.596
2020,1,1,20,latifi,1:22.200
2020,1,2,1,bottas,1:09.441
2020,1,2,2,max_verstappen,1:09.859
2020,1,2,3,norris,1:10.366
2020,1,2,4,albon,1:10.362
2020,1,2,5,hamilton,1:10.550
2020,1,2,6,perez,1:10.812
2020,1,2,7,leclerc,1:11.418
2020,1,2,8,sainz,1:11.958
2020,1,2,9,stroll,1:12.184
2020,1,2,10,vettel,1:12.072
2020,1,2,11,ricciardo,1:12.125
2020,1,2,12,gasly,1:12.412
2020,1,2,13,kevin_magnussen,1:12.762
2020,1,2,14,giovinazzi,1:12.959
2020,1,2,15,kvyat,1:13.127
2020,1,2,16,ocon,1:13.291
2020,1,2,17,raikkonen,1:13.309
2020,1,2,18,grosjean,1:13.534
2020,1,2,19,russell,1:13.736
2020,1,2,20,latifi,1:13.861
2020,1,3,1,bottas,1:09.598
2020,1,3,2,max_verstappen,1:09.380
2020,1,3,3,albon,1:09.579
2020,1,3,4,norris,1:11.197
2020,1,3,5,hamilton,1:10.362
2020,1,3,6,perez,1:10.271
2020,1,3,7,leclerc,1:09.925
2020,1,3,8,sainz,1:10.243
2020,1,3,9,stroll,1:10.570
2020,1,3,10,vettel,1:10.670
2020,1,3,11,ricciardo,1:11.236
2020,1,3,12,gasly,1:11.311
2020,1,3,13,kevin_magnussen,1:11.531
2020,1,3,14,giovinazzi,1:11.633
2020,1,3,15,kvyat,1:11.726
2020,1,3,16,ocon,1:11.786
2020,1,3,17,raikkonen,1:12.098
2020,1,3,18,grosjean,1:12.183
2020,1,3,19,russell,1:12.334
2020,1,3,20,latifi,1:12.354
2020,1,4,1,bottas,1:09.592
2020,1,4,2,max_verstappen,1:09.428
2020,1,4,3,albon,1:09.853
2020,1,4,4,hamilton,1:09.340
2020,1,4,5,norris,1:10.810
2020,1,4,6,perez,1:10.265
2020,1,4,7,leclerc,1:10.271
2020,1,4,8,sainz,1:10.316
2020,1,4,9,stroll,1:10.326
2020,1,4,10,vettel,1:10.483
2020,1,4,11,ricciardo,1:10.628
2020,1,4,12,gasly,1:10.725
2020,1,4,13,kevin_magnussen,1:11.582
2020,1,4,14,giovinazzi,1:11.482
2020,1,4,15,kvyat,1:11.327
2020,1,4,16,ocon,1:11.415
2020,1,4,17,raikkonen,1:11.372
2020,1,4,18,grosjean,1:11.576
2020,1,4,19,russell,1:11.594
2020,1,4,20,latifi,1:11.901
2020,1,5,1,bottas,1:09.159
2020,1,5,2,max_verstappen,1:09.351
2020,1,5,3,albon,1:09.412
2020,1,5,4,hamilton,1:09.461
2020,1,5,5,norris,1:09.949
2020,1,5,6,perez,1:10.062
2020,1,5,7,leclerc,1:10.310
2020,1,5,8,sainz,1:10.317
2020,1,5,9,stroll,1:10.333
2020,1,5,10,vettel,1:10.422
2020,1,5,11,ricciardo,1:10.636
2020,1,5,12,gasly,1:11.511
2020,1,5,13,kevin_magnussen,1:11.879
2020,1,5,14,giovinazzi,1:11.848
2020,1,5,15,kvyat,1:12.095
2020,1,5,16,ocon,1:12.056
2020,1,5,17,raikkonen,1:11.920
2020,1,5,18,grosjean,1:11.829
2020,1,5,19,russell,1:11.724
2020,1,5,20,latifi,1:11.919
2020,1,6,1,bottas,1:09.386
2020,1,6,2,max_verstappen,1:09.469
2020,1,6,3,albon,1:09.525
2020,1,6,4,hamilton,1:09.294
2020,1,6,5,norris,1:10.017
2020,1,6,6,perez,1:09.922
2020,1,6,7,leclerc,1:10.287
2020,1,6,8,sainz,1:10.342
2020,1,6,9,stroll,1:10.508
2020,1,6,10,vettel,1:10.594
2020,1,6,11,ricciardo,1:10.954
2020,1,6,12,gasly,1:12.028
2020,1,6,13,kevin_magnussen,1:11.463
2020,1,6,14,kvyat,1:10.997
2020,1,6,15,giovinazzi,1:12.479
2020,1,6,16,ocon,1:11.727
2020,1,6,17,raikkonen,1:11.893
2020,1,6,18,grosjean,1:11.868
2020,1,6,19,russell,1:12.130
2020,1,6,20,latifi,1:11.812
2020,1,7,1,bottas,1:09.051
2020,1,7,2,max_verstappen,1:09.577
2020,1,7,3,albon,1:09.808
2020,1,7,4,hamilton,1:09.701
2020,1,7,5,norris,1:10.228
2020,1,7,6,perez,1:10.417
2020,1,7,7,leclerc,1:10.596
2020,1,7,8,sainz,1:10.563
2020,1,7,9,stroll,1:10.845
2020,1,7,10,vettel,1:10.841
2020,1,7,11,ricciardo,1:10.813
2020,1,7,12,gasly,1:11.173
2020,1,7,13,kvyat,1:10.962
2020,1,7,14,kevin_magnussen,1:12.869
2020,1,7,15,giovinazzi,1:11.830
2020,1,7,16,ocon,1:11.816
2020,1,7,17,raikkonen,1:11.771
2020,1,7,18,grosjean,1:11.904
2020,1,7,19,russell,1:12.152
2020,1,7,20,latifi,1:12.103
2020,1,8,1,bottas,1:09.185
2020,1,8,2,max_verstappen,1:09.538
2020,1,8,3,albon,1:09.649
2020,1,8,4,hamilton,1:09.796
2020,1,8,5,norris,1:10.324
2020,1,8,6,perez,1:10.291
2020,1,8,7,leclerc,1:10.611
