season,round,raceName,date,driverId,constructorId,grid,position,status,points,time-ms,time-hrmins,Max Avg Speed Unit,Max Avg Speed
2017,1,Australian Grand Prix,3/26/17,vettel,ferrari,2,1,Finished,25,5051672,24:11.7,kph,220.351
2017,1,Australian Grand Prix,3/26/17,hamilton,mercedes,1,2,Finished,18,5061647,9.975,kph,219.351
2017,1,Australian Grand Prix,3/26/17,bottas,mercedes,3,3,Finished,15,5062922,11.25,kph,220.465
2017,1,Australian Grand Prix,3/26/17,raikkonen,ferrari,4,4,Finished,12,5074065,22.393,kph,220.605
2017,1,Australian Grand Prix,3/26/17,max_verstappen,red_bull,5,5,Finished,10,5080499,28.827,kph,219.525
2017,1,Australian Grand Prix,3/26/17,massa,williams,7,6,Finished,8,5135058,+1:23.386,kph,216.83
2017,1,Australian Grand Prix,3/26/17,perez,force_india,10,7,+1 Lap,6,,,kph,216.115
2017,1,Australian Grand Prix,3/26/17,sainz,toro_rosso,8,8,+1 Lap,4,,,kph,217.74
2017,1,Australian Grand Prix,3/26/17,kvyat,toro_rosso,9,9,+1 Lap,2,,,kph,220.165
2017,1,Australian Grand Prix,3/26/17,ocon,force_india,13,10,+1 Lap,1,,,kph,215.776
2017,1,Australian Grand Prix,3/26/17,hulkenberg,renault,11,11,+1 Lap,0,,,kph,215.749
2017,1,Australian Grand Prix,3/26/17,giovinazzi,sauber,16,12,+2 Laps,0,,,kph,214.378
2017,1,Australian Grand Prix,3/26/17,vandoorne,mclaren,18,13,+2 Laps,0,,,kph,213.448
2017,1,Australian Grand Prix,3/26/17,alonso,mclaren,12,14,Vibrations,0,,,kph,211.938
2017,1,Australian Grand Prix,3/26/17,kevin_magnussen,haas,17,15,Suspension,0,,,kph,218.011
2017,1,Australian Grand Prix,3/26/17,stroll,williams,20,16,Brakes,0,,,kph,213.569
2017,1,Australian Grand Prix,3/26/17,ricciardo,red_bull,0,17,Power Unit,0,,,kph,213.431
2017,1,Australian Grand Prix,3/26/17,ericsson,sauber,14,18,Hydraulics,0,,,kph,207.391
2017,1,Australian Grand Prix,3/26/17,jolyon_palmer,renault,19,19,Brakes,0,,,kph,207.069
2017,1,Australian Grand Prix,3/26/17,grosjean,haas,6,20,Water leak,0,,,kph,211.689
2017,2,Chinese Grand Prix,4/9/17,hamilton,mercedes,1,1,Finished,25,5856158,37:36.2,kph,205.745
2017,2,Chinese Grand Prix,4/9/17,vettel,ferrari,2,2,Finished,18,5862408,6.25,kph,205.648
2017,2,Chinese Grand Prix,4/9/17,max_verstappen,red_bull,16,3,Finished,15,5901350,45.192,kph,202.886
2017,2,Chinese Grand Prix,4/9/17,ricciardo,red_bull,5,4,Finished,12,5902193,46.035,kph,202.741
2017,2,Chinese Grand Prix,4/9/17,raikkonen,ferrari,4,5,Finished,10,5904234,48.076,kph,204.406
2017,2,Chinese Grand Prix,4/9/17,bottas,mercedes,3,6,Finished,8,5904966,48.808,kph,204.734
2017,2,Chinese Grand Prix,4/9/17,sainz,toro_rosso,11,7,Finished,6,5929051,+1:12.893,kph,201.478
2017,2,Chinese Grand Prix,4/9/17,kevin_magnussen,haas,12,8,+1 Lap,4,,,kph,201.209
2017,2,Chinese Grand Prix,4/9/17,perez,force_india,8,9,+1 Lap,2,,,kph,203.288
2017,2,Chinese Grand Prix,4/9/17,ocon,force_india,17,10,+1 Lap,1,,,kph,202.23
2017,2,Chinese Grand Prix,4/9/17,grosjean,haas,19,11,+1 Lap,0,,,kph,201.162
2017,2,Chinese Grand Prix,4/9/17,hulkenberg,renault,7,12,+1 Lap,0,,,kph,200.21
2017,2,Chinese Grand Prix,4/9/17,jolyon_palmer,renault,20,13,+1 Lap,0,,,kph,199.871
2017,2,Chinese Grand Prix,4/9/17,massa,williams,6,14,+1 Lap,0,,,kph,203.33
2017,2,Chinese Grand Prix,4/9/17,ericsson,sauber,14,15,+1 Lap,0,,,kph,196.763
