season,round,raceName,date,driverId,constructorId,grid,laps,position,status,points,time-ms,time-minsecmil,fastest-time
2021,10,British Grand Prix,2021-07-18,max_verstappen,red_bull,2,17,1,Finished,3,1538426,25:38.426,1:30.013
2021,10,British Grand Prix,2021-07-18,hamilton,mercedes,1,17,2,Finished,2,1539856,+1.430,1:29.937
2021,10,British Grand Prix,2021-07-18,bottas,mercedes,3,17,3,Finished,1,1545928,+7.502,1:29.958
2021,10,British Grand Prix,2021-07-18,leclerc,ferrari,4,17,4,Finished,0,1549704,+11.278,1:30.163
2021,10,British Grand Prix,2021-07-18,norris,mclaren,6,17,5,Finished,0,1562537,+24.111,1:30.566
2021,10,British Grand Prix,2021-07-18,ricciardo,mclaren,7,17,6,Finished,0,1569385,+30.959,1:30.640
2021,10,British Grand Prix,2021-07-18,alonso,alpine,11,17,7,Finished,0,1581953,+43.527,1:31.773
2021,10,British Grand Prix,2021-07-18,vettel,aston_martin,10,17,8,Finished,0,1582865,+44.439,1:31.687
2021,10,British Grand Prix,2021-07-18,russell,williams,8,17,9,Finished,0,1585078,+46.652,1:32.208
2021,10,British Grand Prix,2021-07-18,ocon,alpine,13,17,10,Finished,0,1585821,+47.395,1:32.183
2021,10,British Grand Prix,2021-07-18,sainz,ferrari,9,17,11,Finished,0,1586224,+47.798,1:31.991
2021,10,British Grand Prix,2021-07-18,gasly,alphatauri,12,17,12,Finished,0,1587189,+48.763,1:32.072
2021,10,British Grand Prix,2021-07-18,raikkonen,alfa,17,17,13,Finished,0,1589103,+50.677,1:32.139
2021,10,British Grand Prix,2021-07-18,stroll,aston_martin,15,17,14,Finished,0,1590605,+52.179,1:32.210
2021,10,British Grand Prix,2021-07-18,giovinazzi,alfa,14,17,15,Finished,0,1591651,+53.225,1:32.457
2021,10,British Grand Prix,2021-07-18,tsunoda,alphatauri,16,17,16,Finished,0,1591993,+53.567,1:32.270
2021,10,British Grand Prix,2021-07-18,latifi,williams,18,17,17,Finished,0,1593588,+55.162,1:32.143
2021,10,British Grand Prix,2021-07-18,mick_schumacher,haas,19,17,18,Finished,0,1606639,+1:08.213,1:32.567
2021,10,British Grand Prix,2021-07-18,mazepin,haas,20,17,19,Finished,0,1616074,+1:17.648,1:33.462
2021,10,British Grand Prix,2021-07-18,perez,red_bull,5,16,20,Vibrations,0,,,
2021,14,Italian Grand Prix,2021-09-12,bottas,mercedes,1,18,1,Finished,3,1674078,27:54.078,1:23.540
2021,14,Italian Grand Prix,2021-09-12,max_verstappen,red_bull,3,18,2,Finished,2,1676403,+2.325,1:23.502
2021,14,Italian Grand Prix,2021-09-12,ricciardo,mclaren,5,18,3,Finished,1,1688612,+14.534,1:24.291
2021,14,Italian Grand Prix,2021-09-12,norris,mclaren,4,18,4,Finished,0,1692913,+18.835,1:24.554
2021,14,Italian Grand Prix,2021-09-12,hamilton,mercedes,2,18,5,Finished,0,1694089,+20.011,1:24.253
2021,14,Italian Grand Prix,2021-09-12,leclerc,ferrari,8,18,6,Finished,0,1697520,+23.442,1:24.677
2021,14,Italian Grand Prix,2021-09-12,sainz,ferrari,7,18,7,Finished,0,1702030,+27.952,1:24.918
2021,14,Italian Grand Prix,2021-09-12,giovinazzi,alfa,10,18,8,Finished,0,1705167,+31.089,1:25.126
2021,14,Italian Grand Prix,2021-09-12,perez,red_bull,9,18,9,Finished,0,1705758,+31.680,1:24.211
2021,14,Italian Grand Prix,2021-09-12,stroll,aston_martin,12,18,10,Finished,0,1712749,+38.671,1:25.349
2021,14,Italian Grand Prix,2021-09-12,alonso,alpine,13,18,11,Finished,0,1713873,+39.795,1:25.225
2021,14,Italian Grand Prix,2021-09-12,vettel,aston_martin,11,18,12,Finished,0,1715255,+41.177,1:25.493
2021,14,Italian Grand Prix,2021-09-12,ocon,alpine,14,18,13,Finished,0,1717451,+43.373,1:25.613
2021,14,Italian Grand Prix,2021-09-12,latifi,williams,16,18,14,Finished,0,1720055,+45.977,1:25.711
2021,14,Italian Grand Prix,2021-09-12,russell,williams,15,18,15,Finished,0,1720899,+46.821,1:25.835
2021,14,Italian Grand Prix,2021-09-12,tsunoda,alphatauri,17,18,16,Finished,0,1724055,+49.977,1:25.847
2021,14,Italian Grand Prix,2021-09-12,mazepin,haas,20,18,17,Finished,0,1736677,+1:02.599,1:26.613
2021,14,Italian Grand Prix,2021-09-12,kubica,alfa,19,18,18,Finished,0,1739174,+1:05.096,1:26.772
2021,14,Italian Grand Prix,2021-09-12,mick_schumacher,haas,18,18,19,Finished,0,1740232,+1:06.154,1:26.819
2021,14,Italian Grand Prix,2021-09-12,gasly,alphatauri,6,0,20,Accident,0,,,
2021,19,São Paulo Grand Prix,2021-11-14,bottas,mercedes,2,24,1,Finished,3,1749559,29:09.559,1:12.300
2021,19,São Paulo Grand Prix,2021-11-14,max_verstappen,red_bull,1,24,2,Finished,2,1750729,+1.170,1:12.114
2021,19,São Paulo Grand Prix,2021-11-14,sainz,ferrari,5,24,3,Finished,1,1768282,+18.723,1:13.167
2021,19,São Paulo Grand Prix,2021-11-14,perez,red_bull,3,24,4,Finished,0,1769346,+19.787,1:13.110
2021,19,São Paulo Grand Prix,2021-11-14,hamilton,mercedes,20,24,5,Finished,0,1770431,+20.872,1:12.357
2021,19,São Paulo Grand Prix,2021-11-14,norris,mclaren,7,24,6,Finished,0,1772117,+22.558,1:12.994
2021,19,São Paulo Grand Prix,2021-11-14,leclerc,ferrari,6,24,7,Finished,0,1774615,+25.056,1:13.140
2021,19,São Paulo Grand Prix,2021-11-14,gasly,alphatauri,4,24,8,Finished,0,1783717,+34.158,1:13.342
2021,19,São Paulo Grand Prix,2021-11-14,ocon,alpine,10,24,9,Finished,0,1784191,+34.632,1:13.615
2021,19,São Paulo Grand Prix,2021-11-14,vettel,aston_martin,11,24,10,Finished,0,1784426,+34.867,1:13.558
2021,19,São Paulo Grand Prix,2021-11-14,ricciardo,mclaren,8,24,11,Finished,0,1785428,+35.869,1:13.463
2021,19,São Paulo Grand Prix,2021-11-14,alonso,alpine,9,24,12,Finished,0,1786137,+36.578,1:13.397
